#SNR	m1	m2	err_Log_Mc	err_eta	err_H_eff5	err_H_eff8	err_ecc	corr_Mc_ecc	corr_eta_ecc	corr_Heff5_ecc	corr_Heff8_ecc
634.890912162154	7.5	2.5	1.875434394944631e-06	3.4994755052038e-05	0.010043454049865305	0.13033856664395807	1.3181037511019344e-05	0.9196619958731823	-0.9984206069570049	0.7857928781052204	0.11736879723383054
1107.0824906763994	15.0	5.0	4.884713117133588e-06	2.1818085316100718e-05	0.007247464934697206	0.06979598559618612	3.188550981614644e-05	0.9543321708914677	-0.9992080339384307	0.7585847326596711	0.6322462550743146
1513.4075198714838	22.5	7.5	9.016248018705138e-06	1.6337997365879436e-05	0.006846400283479017	0.0664051518406773	5.2694151488380394e-05	0.9685384597852476	-0.9995285601950145	0.7816404830126509	0.8234855869354127
1875.6432342987603	30.0	10.0	1.3742057962908161e-05	1.2758004584932498e-05	0.006872073330093224	0.07035613573279441	7.27704191283398e-05	0.9745177329706922	-0.9997184169289995	0.8031127780949148	0.8870225418148422
2204.8377359028746	37.5	12.5	1.8509892244748132e-05	9.97268694252055e-06	0.0069531391032864095	0.07438715767662005	8.975286504739785e-05	0.9766878476279508	-0.9998490499833207	0.8132792746725567	0.909052551328218
2508.2003193561677	45.0	15.0	2.304054613403919e-05	7.744352959127268e-06	0.0070389051260591265	0.07737960792362138	0.00010307304588185578	0.9768845736437535	-0.9999112511677949	0.8143816272794621	0.9160341810025043
2791.8306269469967	52.5	17.5	2.7116073272259177e-05	5.926603060934852e-06	0.007113552758483233	0.07925643513310374	0.00011248191131486821	0.9756398189176124	-0.9997747810747537	0.807712963878155	0.9154525896219572
3060.8684955000163	60.0	20.0	3.08627504441713e-05	4.474100146128807e-06	0.00723181579223043	0.08082354012730374	0.00011912347627728885	0.9734557172048586	-0.9990082063821379	0.7966845526814348	0.9108148480661507
3320.4353909673287	67.5	22.5	3.4320080169790453e-05	3.3062469665393454e-06	0.0073919526121907705	0.08245093373383838	0.00012359713876169354	0.9705036069921206	-0.9962902545743578	0.7830524527842427	0.9030421926059924
3574.6320773366397	75.0	25.0	3.749436212516424e-05	2.3647661887668176e-06	0.0075617395938759	0.08425137663085946	0.00012639572879302475	0.9670079607237478	-0.9874671285372465	0.7685230107086968	0.8926577189655369
