#SNR	m1	m2	err_Log_Mc	err_eta	err_H_eff5	err_H_eff8	err_ecc	corr_Mc_ecc	corr_eta_ecc	corr_Heff5_ecc	corr_Heff8_ecc	corr_Log_Mc_eta	corr_Heff5_eta	corr_Heff8_eta
691.1815059276979	6.66667	3.33333	8.53523862783953e-07	7.77267767169247e-05	0.010238730859585399	0.14321201014171603	1.057616874151961e-05	-0.8880219384948843	-0.9057752369547587	0.5502123028935225	0.22795239791099542	0.6667237190109129	-0.7916895422458069	-0.20020661371781784
1205.2378539925128	13.3333	6.66667	1.7873486112401606e-06	6.364576048763667e-05	0.00531349887570687	0.07492507456430705	2.6741929284823524e-05	-0.873441200503426	-0.9514528423680882	0.21654042746202554	0.566442325974377	0.7127299908544273	-0.42769662007643366	-0.6247776532329989
1647.5894207005015	20.0	10.0	2.4824236072120885e-06	5.9546903564507465e-05	0.004338629379531322	0.0602593416937182	4.8822159447863375e-05	-0.7874000422463198	-0.9700933414696433	-0.13244000283276833	0.6690567519656377	0.6362975911497856	-0.04144752881413006	-0.7447694755798486
2041.9404409097167	26.6667	13.3333	2.988961957942332e-06	5.7530871277758396e-05	0.004245761024498293	0.05488479103737614	7.652068858703904e-05	-0.629497423094168	-0.9795248342621161	-0.3571483117162622	0.7059489918651043	0.4781218943015119	0.21781200747166157	-0.7840072878929927
2400.3244973124492	33.3333	16.6667	3.475828765316847e-06	5.607751709696912e-05	0.004371257307967157	0.05302123838468331	0.00010917935485552134	-0.3698453629737143	-0.9848677362185595	-0.47124836758604816	0.7208892542539759	0.2186622843286604	0.3556575264541414	-0.7969714984665547
2730.582646714856	40.0	20.0	4.260889281156109e-06	5.491198939746674e-05	0.004522423765056894	0.05326950818218298	0.00014638385497171946	-0.024117927673352482	-0.9881849347377214	-0.5130546905830743	0.7304922581900437	-0.11655412908190917	0.4119211494065009	-0.8029744039141402
3039.3591297545086	46.6667	23.3333	5.7029538656586224e-06	5.3943842878118973e-05	0.004650651967904456	0.05530745988854137	0.00018786876289673127	0.30460966649871857	-0.9903947341939529	-0.5069934773989451	0.7414466328551372	-0.4234448051991877	0.41414396307433626	-0.809647037168991
3332.2525896540196	53.3333	26.6667	8.071959728933227e-06	5.338735273326642e-05	0.004760211722173925	0.0594152710041408	0.00023448484267550964	0.5418613562624002	-0.992005283539061	-0.45950536979784923	0.7576747458580668	-0.6362477258317432	0.37117792956471185	-0.820824296873617
3614.8321918883207	60.0	30.0	1.1544143076961864e-05	5.329650175989631e-05	0.004874404105215153	0.0659450397413106	0.00028735141931518276	0.691329805997764	-0.9932695889258194	-0.37541397504114077	0.778877010236414	-0.7649686024745566	0.28996306744681477	-0.8362891601056439
3891.565519400537	66.6667	33.3333	1.623167885085959e-05	5.358002528240015e-05	0.005016022114878688	0.07500358655869147	0.00034735776744475587	0.7832408530324726	-0.9943169387223081	-0.2636292300256224	0.8023448134172074	-0.840945412866144	0.18120782062760954	-0.8536169621136299
